MOY,USGS_discharge,TEM_discharge
2007-01,2.487286,4.646063333
2007-02,1.568270401,4.45876
2007-03,2.682367255,18.33995667
2007-04,3.249322153,10.58554333
2007-05,13.3280123,50.81758
2007-06,25.98543279,59.31235333
2007-07,20.2396802,40.69379333
2007-08,30.26807596,70.7326
2007-09,4.305504259,28.18956667
2007-10,3.497745938,14.09506
2007-11,1.399098375,11.72070667
2007-12,3.109107501,11.05034333
2008-01,2.411082385,12.38000333
2008-02,4.508205876,12.80219667
2008-03,6.404151822,16.83489
2008-04,9.010315462,39.1926
2008-05,5.305295691,27.64674667
2008-06,10.08478644,44.83217333
2008-07,1.333563266,14.62432333
2008-08,3.21426849,26.02492667
2008-09,4.538687322,39.39207667
2008-10,3.950395412,22.31012333
2008-11,2.711324629,9.739496667
2008-12,3.084722344,8.845033333
2009-01,1.089711697,7.868123333
2009-02,2.47356935,6.714976667
2009-03,1.978245851,7.879743333
2009-04,4.275022813,13.96087667
2009-05,10.64107283,19.26817333
2009-06,1.589607413,14.60523333
2009-07,0.739175068,17.46707333
2009-08,1.426531677,20.20579667
2009-09,1.51492787,16.93919333
2009-10,2.395841662,24.65847
2009-11,2.478141567,14.65199
2009-12,0.821474972,13.65239333
2010-01,1.511879726,13.69223333
2010-02,3.048144608,14.44366
2010-03,2.072738334,16.34629667
2010-04,1.723725776,20.82497667
2010-05,4.717003781,23.54267333
2010-06,4.035743461,17.81678
2010-07,5.660404538,24.84134667
2010-08,1.010459938,7.659793333
2010-09,0.281953376,11.05311
2010-10,0.281953376,9.343863333
2010-11,2.022443948,8.54817
2010-12,1.546933389,5.56183
